,question,answer_text,distractor
12393,what passag mainli talk,some travel tip,travel experi first aid travel
12394,which follow statement true,teenag get backach sit long time,murray worri young peopl mental health TV programm nonviol educ teenag n like exercis
12395,whi Lu frighten writer grandmoth,becaus mani unlucki thing,becaus went shop england
12396,what realli true accord,travel insur compani provid servic accid insur,accid insur protect import person accid
12397,wendi made express known everybodi,televis advertis,mani old women eat hamburg sell bread bit meat mcdonald restaur mani old women eat hamburg sell bread bit meat mcdonald restaur
12398,bring shark back difficult,reproduct rate slow,like fish life cycl year
12399,which follow websit give inform tiger nest,http www bhutantouroper net taktsang monasteri php,http yeschinatour com china guid china attract leshan giant buddha leshan
12400,how mani mom studi believ kind one born,,
12401,what infer text,the barots landscap issu still discuss,zambia two world heritag site the barots landscap partli destroy young peopl zambia n know barots cultur
12402,what author want tell us passag,A brief account O henri life,O henri experi prison the object O henri museum O henri achiev literatur
12403,which follow not true accord passag,sandwich becam bigger,diner exist fast food restaur the menu includ food sandwich coffe burger king fast food restaur
12404,whi bach write coffe cantata,To tell child drink much coffe,To make new kind music church
12405,whi peopl celebr festiv time,becaus moon fullest brightest,becaus time famili togeth
12406,miss evan thought,right student,wrong student absent lectur kind student leav mani record
12407,the purpos passag,introduc english class vari degre kid,introduc english languag school children persuad children learn english fun way
12408,what would writer probabl suggest say make mistak,Ok now I learn someth,never mind I alway tri
12409,what learn passag,It peopl make tiger endang,A tiger live year mani peopl kill tiger everi year male femal tiger take care babi togeth
12410,which true kid past,they prefer wear brighter cloth,they use money spend they could n influenc parent
12411,the danger problem jockey aris,jockey hors fall jockey,leg jam two hors jockey well paid
12412,whi writer revis translat often,reader make new demand,turkish languag mobil
12413,what writer say work lab summer,It import part work,It good way work peopl He enjoy work place
12414,good distribut mean,thing right place right time,cut forest sell countri build water system carri water farm
12415,I hug kiss father everi opportun,I felt quit natur,I name presid ford motor compani
12416,after man heard manag said,thought noth steal,went buy diamond necklac somewher els
12417,what best titl passag,rare ill turn girl sleep beauti,how louisa overcam difficulti
12418,what learn passag,most problem caus women death pregnanc childbirth treat prevent,the govern african countri take effect measur save pregnant women develop countri help african countri reduc mother death
12419,elvish consid real languag,certain grammat rule make languag learnabl,made lot word sentenc structur charact the lord ring use commun new word creat base alreadi exist word
12420,what Mr smith woman come ask way,He walk street,He walk along bridg
12421,which not true game second life,you ca n enter second life pay entranc fee,A resid second life live life somewhat like real life the number user second life ten time larg To possess resid pay member second life
12422,what jack breakfast,one appl two egg bread cup milk,some hamburg one appl bread two egg one appl cup milk
12423,what would best titl passag,earli discoveri cancer,A simpl way cancer cancer cure how find cancer
12424,what happen man end,He becam gener,He becam richest man world
12425,In text writer tri tell us,someth import money,talk peopl look eye
12426,the kid ask advic,grow present situat,make mother chang get along well mother
12427,what kessa lose weight,she stop eat,she eat less junk food
12428,which follow best titl passag,your medic record stolen,expens medic treatment joe ryan want polic
12429,the mean conductor word,dog must sit chair,dog feet like peopl dog must like man dog sit
12430,when one author friend visit the lego room,destroy model accid,tri build new model
12431,what would best titl passag,the high school basketbal leagu taiwan,the basketbal fan taiwan hbl fever just keep get hotter
12432,the last sentenc text suggest human,test electrod,use touch sensit devic test monkey soon lay foundat monkey trial
12433,the pair went taiwan,learn music danc,work music compani
12434,We learn passag,number skin cancer patient increas america,sunscreen user get skin cancer often volunt prove effect sunscreen new studi base experi volunt
12435,which follow infer passag,the pickpocket conflict emot mallon help,the taxi n take pickpocket hous end the pickpocket succeed steal someth mallon the umbrella seller gave umbrella mallon free charg
12436,who foolish,the rich man,the young man the shop owner the man friend
12437,from passag learn three citi,peopl provid pleasant place live,peopl encourag grow plant roof peopl make good use solar wind energi
12438,the whole passag tell us,stori taj mahal,beauti fairi tale white black marbl tomb made two emperor love stori emperor shah jahan wife
12439,the best titl text would,foreign settl shanghai,the develop shanghai the lifestyl shanghai peopl contribut foreign shanghai
12440,which follow statement true accord text,there scar boy arm leg,the mother match strength A farmer scare allig away hit eye A crocodil attack boy mother swim
12441,hi custom give,birthday cake,mani cake
12442,there book,We read passag comput,peopl n like read book
12443,after read passag take effect action,parent,children
12444,what bike hurt,I let rider go I call parent,I let rider go I know serious I hurt
12445,what best titl text,laughter Is good your famili,the more you laugh better you Be laugh everi day Is simpl how laugh everyday life
12446,accord writer hunt affect handgun control,hunter use rifl rather handgun,hunter use knive rather gun hunt anim state govern encourag hunter use gun nobodi care weapon use kill anim
12447,what make peopl think simpl fact differ,peopl differ experi,simpl fact differ sometim
12448,rahfeal gordon use hip hop lyric lectur,hip hop song help spend hard time,good perform hip hop song hip hop song encourag funni
12449,what cartmil opinion regular check up men,they save money long run,they may caus troubl men they enabl men live long women
12450,My spanish friend want advic,find place stay england,learn english drive car english road
12451,which follow could best titl text,dog mood indic owner health,strong bond dog senior owner sign older rel need help
12452,which follow best titl passag,nostalgia good bad,thought nostalgia the reason nostalgia whi not think back past
12453,whi dog seen man best friend accord passag,becaus dog read emot human face easili,becaus dog closest anim human becaus dog understand us better feel sad becaus dog good express emot
12454,whi bunter feel unwilling shame disgust,He lie seen,He could n prove right It dislik captain
12455,which statement not true,martin work nine hour without break everyday,when doctor mason notic stress peopl face winter know peopl come advic doctor mason often feel satisfi help peopl problem
12456,who jack,mr green nephew,mr green son mr green husband mr green friend
12457,the best titl passag,the import father,father I love father hero father mother
12458,what best titl text,lunch pack love,old gener way express love differ brand lunch box note
12459,what best titl text,how make dream real,A big dream made small dream everyon realiz dream
12460,from billi stori see,parent let children interest,men women play differ sport
12461,accord writer,joke sent close friend onlin sometim may harm,e mail misspel may hurt receiv send e mail sender ask someon check american like send receiv e mail
12462,whi scientist choos mice studi,becaus substanc may effect mice human,becaus mice longer lifespan anim becaus mice take harm substanc easili quickli becaus mice sensit sweet tast
12463,which follow true,the peopl answer ad want sell pearl high price,the woman well dress man wife the jewel lucki enough buy littl old ladi pearl the rich man n know littl old ladi
12464,you find anz bank group,corner greek street queen street,queen street elizabeth street corner queen street elizabeth street queen street elizabeth street corner queen street elizabeth street
12465,In studi research asu,juror actual comput human ident,student express emot juror shown evid photograph onlin femal juror doubt decis case
12466,what passag mainli tell us,mani languag quickli disappear,some languag disappear hard rememb chines one languag disappear thank research mani endang languag rescu
12467,whi scientist design silicon comput chip act like human organ,To make test new drug faster cheaper,To examin health condit human organ To studi function human organ
12468,accord new studi music train,make children intellig,make children smarter help child express creativ improv children abil learn school
12469,the author advis put palm desk thing nearbi order,reduc anxieti,feel surfac object
12470,what writer view evolutionari theori,It scienc accept,It scienc resist It scienc resist It scienc accept
12471,what passag mainli,the develop transport wheel,the begin road design
12472,what passag mainli talk,song winter,differ idea winter winter differ area winter cold happi
12473,the point stori advis reader,let limit growth,miss final exam school
12474,whi project carri beij,becaus environ suit project,becaus beij pollut citi becaus design live beij becaus much wind beij
12475,what sam day,To someth special,To go new class
12476,what problem ipad use school present,the ipad may unavail tradit cours,some student would n like ipad school the ipad expens school student buy most expert oppos idea ipad replac paper textbook
12477,organ committe chang name friendli fuwa without give formal announc,becaus perhap affect sale olymp product,becaus peopl critic chang name
12478,which follow snack unhealthi accord text,candi soda,low fat milk
12479,how driver respond sound driver alert,By press steer wheel,By sound warn
12480,By give exampl area new mexico author tri prove,studi tree import histori man,tree ca n live area without popul relat tree ring histori man histori man import histori tree
12481,presid obama made good natur hit michel expens,show humor,rememb bang
12482,the farmer want,make journey interest,see teacher lucki know teacher clever make friend teacher
12483,john sat beach probabl wait,jack,steven
12484,the main idea passag,invent system rais dot make book easier blind peopl read,loui good student school pari learn see help book thousand braill book blind peopl
12485,what know passag,she becam overnight success,antonia pave street gold she star film one year
12486,after two experi research probabl conclud,seal realli make use acoust signal prey,realli easi seal find prey seal easili fool acoust tag seal much clever sea anim
12487,what infer last sentenc,Mr walker close relationship student,the author invit Mr walker graduat ceremoni the author parent inform Mr walker visit Mr walker went visit author frequent
12488,which follow not true citi car,It take two passeng,It electr car
12489,which follow statement book wrong,It poorli evalu reader,It contain inform specif food
12490,what learn passag,the girl recogn man happi adopt,peopl n want help littl girl first the man save girl fireman the rich man would buy everyth girl need
12491,what passag mainli,famou coupl met got marri,act date stranger
12492,the strang light came,the broken car valley,duffi car
12493,accord passag pride prejudic,inspir mani novel mani play produc base,tell sad love stori move gener reader set turn th centuri well receiv worldwid
12494,accord passag analyz,understand better career want,know true mean life find uniqu geniu talent know truli happi life good friend find uniqu geniu talent
12495,what passag mainli discuss,the imag barbi doll,the role modern woman
12496,the passag mainli concern,inflat america,histori american currenc price oil world
12497,whi lee kuan yew choos lead singapor independ,He determin peopl n subject malaya anymor,He intend act kind conscienc leader around globe He consider confid valu citi asset
12498,what reason scientist interest moon,the moon easiest place space get air unlik earth,the moon beauti the moon differ earth the moon earth nearest neighbor easiest place space get
12499,accord passag secret author success lie mainli,realli,get A school
12500,music drama includ high school curriculum mainli,school afraid lose financi support,school committe pay attent student interest state standard test import
12501,accord passag want book tabl restaur lunar new year eve,put money restaur,accept restaur decis
12502,the text mainli discuss,whether video game art,differ video game art peopl like hate video game consid work art
12503,the main purpos passag tell reader,relationship mind attent,peopl stay calm still eleph control mind attent
12504,with technolog doctor,transfer certain part eye new person,transplant whole eye new person still ca n eye transplant even certain part eye know almost noth eye
12505,what reaction public wang divorc,most netizen condemn wang wife,most peopl dare comment most peopl show littl concern
12506,We learn passag,donna need new heart instead,felip promis donna give heart doctor ask felip parent donat heart felip never told anyon terribl headach
12507,what think best titl passag,wechat daili live,wechat problem whi wechat hot wechat get better futur
12508,We infer passag,japan purchas cast shadow china japan export import,about boat join origin team later japan export china total billion U S dollar
12509,which best titl passag,A mean geniu,A good way earn money
12510,what caus wambugu set lab St loui missouri,her wish save sweet potato kenya,her love sweet potato
12511,what make feel good comfort,have nice look,smile peopl talk peopl
12512,whi flight call miracl hudson,It succeed land river,It suffer doubl strike
12513,what writer want tell us passag,the explor may help us avoid potenti problem earth,space explor creat mani wonder space explor provid best valu money space explor benefit scienc technolog
12514,accord passag problem teen n get enough nutrient,they like weaker lung,they eat much fruit fish
12515,what concept green freedom,recycl carbon dioxid gasolin,remov emiss carbon dioxid reduc carbon dioxid produc car drive reserv carbon dioxid global warm
12516,what kind grandmoth writer want,one like grandmoth cooki jar treat grandchildren,one jar fill mani kind cooki children one grow grandmoth cooki jar kind cooki one alway make differ kind cooki treat grandchildren
12517,from passag know,the school counsel center familiar problem first year student face,It easi first year student adapt colleg life first year student get along well roommat quickli the univers center help first year student solv problem
12518,accord delaney research riski injuri head,head head elbow head blow,long term effect blow wear head protect
12519,the passag mainli,birth book last influenc,charl famili life magic world call wonderland charl famili life magic world call wonderland
12520,the research reward thirsti rat plain water lever test,test whether fat rat lost interest test taken enough sugar,chang diet habit fat rat find influenc sugar rat brain
12521,what peter famili name,brown,peter brown
12522,We appreci other ca n,thing world variou,entir popul citi appli job worthless compar anyon els
12523,It may not good idea,ask expert exact number necessari toy,spend time read play children choos right type toy children put one two toy hide rest
12524,accord passag learn gray wolv,they help keep balanc natur,the last wolf disappear year ago
12525,which follow not true,everyon like travel busi citi,summer vacat two month long some peopl usual go countri travel
12526,whi african wild dog get name paint dog,they color fur,the dog group differ color
12527,psychologist profession offer help,think goal hard reach,want ask boss rais
12528,the author bought mother purs,make mother happi,surpris mother thank mother buy bike
12529,At end decemb peopl usual,think new year,fail make big chang tri lose idea
12530,the symi factori,turn salt water fresh,make much fresh water time
12531,when high school writer,time play guitar,well gaokao
12532,Do n lose heart sure win match here Do n lose heart mean,brave,put heart someth ca n find heart
12533,financi aid administr believ,famili face problem jacob,colleg tuition fee doubl soon
12534,whi world start chang earli,becaus peopl began work make life better instead explor unknown world,becaus invent much effect wheel hundr year becaus littl unknown land left world becaus peopl explor much anymor
12535,how wwf help china,they help protect china natur beauti,they protect tradit way life
12536,accord passag follow statement time,mayb walt disney Co build new disneyland shanghai,hong kong disneyland cost billion yuan hong kong disneyland attract million visitor everi year hong kong disneyland disneyland california
12537,what know hacker,they sometim tri steal inform,they comput expert
12538,what purpos text,To persuad peopl choos home school,To give inform differ school To compar home school school To suggest new method school educ
12539,which follow correct rank order,stockton detroit miami florida St loui,cleveland detroit miami buffalo florida stockton miami flint florida canton cleveland stockton miami chicago florida
12540,which follow correct accord passag,the littl girl kind act chang relationship writer famili,life must hard parent next door larg famili support the writer put appoint doctor heavi snow
12541,which follow statement gadgil true,He use knowledg help peopl need,He help peopl india He spent lot money invent one invent could cure bengal cholera
12542,how gavin keep warm,He built snow cave,He found shelter
12543,the sentenc foreign often speak english correctli mean,foreign speak english accord grammar rule,foreign speak correct english foreign speak incorrect english foreign never make mistak speak english
12544,thi passag written,inform us inform deadli ill mer,appeal us understand medic expert biggest concern mer cov
12545,what author tri tell us last sentenc,give gestur love peopl understand appreci,Do n greedi money ask peopl thing
12546,live blow line aim,make peopl know realiti live poverti,help poor peopl save money
12547,In author opinion,colleg educ valu cultiv student mind,colleg student pragmat enough colleg student driver pick direct colleg educ provid student busi cours
12548,accord inform passag best fastest way know web giant,We better visit web site www cybertek com,We write father kid inform
12549,which follow true accord passag,she went teach got marri,she manag persuad state pass law allow women go universti she receiv advanc educ teach
12550,the stori tell us,man knew someth the black forest went,man good memori bad luck peopl believ dream never come true peopl believ dream alway save live
12551,what would serv best titl passag,four lover life,the merchant four lover the last best
12552,what passag tell us,how join school footbal team,how good footbal player
12553,It infer passag,bruce n outstand academ achiev school,master yip man offer teach bruce chines kung fu free bruce parent sent back san francisco better educ bruce made big fortun particip box competit
12554,the writer mainli want tell us,fear mind real problem,mother deal anyth breath
12555,kerrigan late studi look chunki high heel shoe,worn mani women,relat knee osteoarthr differ stiletto heel
12556,accord author difficult mani american get visibl firm abdomin muscl mainli,big muscl determin birth,chang exercis routin regularli injuri interrupt exercis frequent
12557,what passag mainli discuss,the music career ella fitzgerald,A comparison ella fitzgerald bessi smith ella fitzgerald earli childhood ella fitzgerald recent record
12558,which follow statement wrong linden lab,linden lab first creat second life peopl thirti year old,linden lab creat second life adult youngster linden lab bring larg sum money second life linden lab creat second life special teenag later
12559,which follow true,the stone firmli frozen ground,russian never tie dog russian alway tie stone firmli
12560,the purpos passag,draw peopl attent worsen situat,introduc domest infect case japan give advic prevent spread flu call educ facil japan suspend class time
12561,bacteria caus food go bad,activ greatli reduc dri,kill dri way depend water contain
12562,what passag mainli talk,nois pollut affect whale,whale danger nois natur nois good whale how protect whale endang
12563,what learn toad,they creat larger problem australia,they brought australia accid
12564,what passag mainli,fridg content owner secret,what peopl store fridg what store fridg how keep fridg content secret
12565,whi writer mention girl brook,To explain parent strict develop children good habit money,To question opinion pocket money To compar brook financi expert To suggest pocket money useless develop child sens respons
12566,If kid alway complain other read,It okay To Be differ,I gon na like Me
12567,robinson diaz difficult task everi morn,help someon get work,get edg valley walk danger area
12568,which best titl passag,onlin shop china,wang lin life shop onlin safe
12569,which follow thing writer hate,go bed earli get earli,let mother know wear clean cloth made mother
12570,accord passag follow statement true,the research go prove theori,charcoal discov year ago
12571,what best titl passag,milk realli good bodi,milk realli necessari children the disadvantag drink milk milk caus health problem
12572,who prove creativ two studi,the peopl read task,the peopl attend meet the peopl invent use cup the peopl copi telephon number
12573,which follow not true accord passag,the passag mainli tell us boy succeed,real beauti lie heart real love lie done known the love mother great
12574,who realli father christma,their parent,father christma
12575,Mr white pictur,curtain,old man
12576,the report invest firm LV show,grown children could n afford separ home,young coupl live two bedroom home famili three children could n afford home parent buy hous grown children
12577,what learn machin,It absorb wet air turn water,It help make water clean drink http www ks u com gaokao beij
12578,the farmer,n want son painter,like artist pictur much
12579,for coupl among household duti import,work take care lopsi,feed newli born babi find place could accept lopsi
12580,which best titl passag,wen r best choic,whi shampoo wast money whi need shampoo
12581,what made U S decid drop atom bomb japan,not content japan repli,truman becom presid unit state the great destruct power atom bomb
12582,It infer passag,the name new england given captain john smith,sir franci drake first use name new england new england old england refer land english speaker began settl new england
12583,which follow true accord text,the scientist satisfi result experi,ross kidney expert involv experi the function renew kidney healthi kidney the renew kidney produc great deal urin
12584,the passag mainli describ,vern accur preview futur,apollo II moon mission
12585,paul davi point,human need one way ticket mar,two way trip mar made safe soon easi reduc danger cost flight mar cheap build everlast human settlement mar
12586,who would like return phone accord studi,A woman found shop center,A man found park A woman found park A man found shop center
12587,accord passag incom price rise togeth,inflat remain problem,money hold valu inflat wo n problem
12588,thi passag mainli talk,news report,differ type report length news report
12589,what problem may tough women life,they may difficulti marriag,they differ characterist form tradit femal imag
12590,thi text mainli,student go abroad work studi program,hotel manag school bavarian germani student wuhan studi germani new job chanc offer germani
12591,If go american prairi reserv eastern montana see,hundr bison travel prairi,ten million bison occupi farmland group expert examin dead bison
12592,We infer passag,may eat special egg drug sick futur,eat egg best choic patient scientist chang chicken dna put drug chicken egg drug produc harm effect chicken bodi
12593,what take london underground,stand right use escal,avoid take larg number shop bag walk middl platform find space
12594,what arous public interest,A mysteri hole field,variou explan offer expert A simpl explan given man the shape fli saucer
12595,accord writer import,changeabl,posit
12596,the tourist mexico citi may satisfi,heavi traffic citi,pollut air citi safeti citi
12597,the safe way cross road,look way right left,run cross road
12598,If want express idea I friendli someon,smile person,rais hand put one hand onto make roof hand
12599,We learn passag,indian prefer food prepar cook,guest need visa get thailand chang vow necessari step indian wed
12600,In children hospit follow true,A person visit bring happi sick boy,over live rel children live lone frighten life children love listen volunt read
12601,which follow sentenc not true accord passag,the mous parent told daughter wait go piec chees,the young mous live hole wall the next day mous n hear cat nois the cat pretend dog make nois woof
12602,We infer passag,aldh defici may pass gener gener,percent japanes chines korean heavi drinker unpleas effect occur peopl defici drink lot east asian aldh defici
12603,In way alcohol famili affect alcohol,hi famili might suffer financi,hi famili could n afford drink
12604,from passag learn,one must judg judg other,one often make window clean one must look other dirti window
12605,tom stop reach whiskey,glass whiskey drug,enough whiskey henri n want get drunk henri wife
12606,accord passag the pine,restaur ask special kind food,town happen near banff nation park
12607,how author famili celebr grandmoth birthday,they gave memori book friendship,they invit friend birthday parti they ask friend send card
12608,the author say civil peopl,settl quarrel without fight,fight quarrel settl settl quarrel kill side
12609,what passag mainli,fals idea sport exercis,reason sport exercis result game exercis proper time sport exercis
12610,In way night novemb best night angela carraro,busi better usual,mani peopl stay night restaur
12611,the best titl passag,right way studi,Do n wast time
12612,In author opinion news,lead loss product,offer mental map world
12613,the recent scientif studi shown plant,commun live thing chemic way,use special chemica languag familiar us respond attack give poison chemic
12614,which statement true,cater began write poem recent,carter gave write year ago
12615,from passag know,billi ca n see,billi ca n hear billi ca n walk billi ca n talk
12616,which statement not correct,jenni pearl necklac turn green wet,jenni love father much jenni toy love much besid necklac jenni n want give necklac though
12617,from result experi find,student test result affect text,boy better multitask girl easier test mistak made
12618,who author respect least,the colour doctor,veriti allen the peopl name lipstick
12619,It might take year comput newspap replac tradit newspap,gener peopl profession journalist,comput newspap expens tradit newspap easi read
12620,which follow fact passag,A recent research show teen need exercis,you two hour screen time day you fun help keep respons go howev also tri hike skateboard even rope jump
12621,It conclud passag,ikea adjust strategi answer need,ikea punish fake photo ikea set good exampl furnitur giant
12622,what purpos write text,To ask peopl give away ski school,To appeal local attend school
12623,which follow statement true,utoya island use youth camp site reduc total silenc,utoya island bloodi shoot spot plan killer dahlberg brother wit shoot utoya island visitor utoya island touch name victim carv polish stone
12624,the column mention Dr whittak,part build close world trade center,part world trade center shot window floor world trade center damag mani build near world trade center
12625,whi lauren hate younger two sister,becaus could noth first,becaus jenni often beat becaus jenni alway made fun becaus jenni alway made busi
12626,accord passag follow statement not true,you get ticket oprah winfrey show soon arriv,you free go art institut tuesday free grant park concert held four night week summer the sear tower world third tallest build
12627,whi mani peopl go work school subway taxi bu privat car,becaus new york citi larg citi,becaus new york citi modern citi becaus new york citi new becaus peopl new york citi busi
12628,which follow statement infer text,It n first time sam came late work,sam suppos come offic humor effect way solv problem all peopl lose life battl lack sens humor
12629,which follow kid not like use googl,To find everyth except inform funni cat video,To find funni cat video internet To find everyth inform funni cat video
12630,what writer think scienc,promot mankind health,win nobel prize
12631,sonni believ tortois,fact win race luckili,race hard work took risk agre run race given fair chanc race
12632,It infer text,billi lid offer servic sunday,fli fox cafe offer dinner parent children mumu grill offer free popcorn children
12633,bat hang upsid,ca n start fli ground directli,n develop pair strong claw hind leg support bodi ca n find quiet place stay day
12634,In line word mean,peopl,island
12635,which sentenc not right,dick n got glove,the children mother often take school children put glove pocket coat miss william think children nice
12636,what made man shop think frenchman farmer,the word cough pronounc kau,the frenchman look like farmer the frenchman said came farm pari
12637,some netizen went chang,applic abbrevi simplifi understand,applic abbrevi make chines popular applic abbrevi bring chines end
12638,tom goe restaur,lunch,buy eye glass sell eye glass
12639,when text pedestrian walk differ way,keep eye steadi phone,take part studi research
12640,A year ago I pay attent english idiom,I care littl teacher instruct,english idiom difficult master My teacher n emphas import
12641,the main purpos passag tell peopl,someth done prevent eros,eros occur import use new farm method seriou outcom eros
12642,what text mainli,hb new plan attract women student,hb new manag nitin nohrin hb effort attract talent student hb best busi school ever world wide
12643,In sunshin sport centr,peopl birthday parti,special lesson dive offer adult
12644,which follow statement true,mani peopl learn english enjoy american song,onli modern american music worldfam If peopl n understand languag n understand music If want understand american histori cultur must understand american music
12645,you colleg student interest plant good take TV pictur which even workshop suitabl,botan film make,collect botani student network societi econom botani
12646,the use E mail made possibl writer,free time child,spend less time work
12647,thi passag mainli talk,littl help dog owner,bow lingual inventor dog bark differ emot talk dog bow lingual inventor dog bark differ emot talk dog
12648,bank prefer give loan,abil pay back,need start capit old larg busi n borrow money
12649,which follow statement true,the sheep climb high spent long time tree,bao xishun marri He pingp the tallest man shortest man china the boy caught biggest fish world
12650,accord lorrain lanningham foster,research got expect result,everyon like freedom new style the student taught without classroom
12651,whi shopper lose interest medicin,becaus color packag,becaus size product becaus color product becaus cost product
12652,At last mother,buy half price ticket boy,say sorri conductor give two yuan conductor
12653,what learn author,He work doctor,He receiv littl formal educ
12654,char cross road,famou bookshop,contain variou kind shop
12655,whi would peopl destroy sand paint heal ceremoni,becaus paint believ contain ill,becaus paint useless ceremoni becaus peopl n know keep paint long becaus paint believ contain spirit god
12656,from text infer,writer text probabl british,museum greatest cultur center world british museum best museum world peopl world may know great museum
12657,what work front comput,have rest work,eat healthi food clean eye use cold water
12658,what best titl passag,london heathrow termin,the first day heathrow termin A new star heathrow termin A dark histori heathrow termin
12659,whi say tutunendo wettest place world,becaus rain often,becaus rain averag day year
12660,which follow not purpos take our son daughter work day,To teach kid appreci school,To give kid chanc experi real life job To give kid idea possibl futur To show kid mean adult work world
12661,A larg number men refus nurs partli,afraid look upon,think nurs get paid doctor think tire work nurs
12662,In twentieth centuri class differ partli smooth,taxat social servic educ opportun,educ increas incom industri develop decreas upper class popul
12663,kathi scratch tom,want know teacher meant said,habit scratch children
12664,which might best titl passag,walk n talk,look way cross street cell phone lead injuri
12665,In three book introduc reader learn,truth bush,georg W bush lie american peopl bush famili came power real truth behind war terror
12666,the author resist third trip fiji,n want separ american friend,n know cousin well
12667,In two citi travel underground sightse experi,pari moscow,moscow tokyo pari mexico citi tokyo mexico citi
12668,whi plant hemp essenti worldwid trade past,ship rope made,hemp profit export hemp use fuel ship hemp use food sailor
12669,what may probabl contribut applic towstop sticker germani,the law countri,the sticker low cost
12670,scientist collect studi inform,cryo jason,european space agenc cryo satellit american space agenc jason
12671,which follow best titl passag,US struggl find host famili,idea host student Is differ foreign exchang program Is go On exchang student keep old peopl young
12672,what best titl text,bicycl work washington DC grow popular,traffic problem everyday concern mani citi bike result new problem washington DC washington DC taken step protect bike rider
12673,what learn Li siyi classmat,It import spirit question,It import find mistak
12674,the author went left eldest son charg younger children,believ could well girlfriend help,knew eldest son good babi sitter
12675,when young ladi talk old woman nod shook head,n want young ladi hear voic,n want troubl young ladi tire n want talk wonder young woman seen hand
12676,after experienc american school life mike thought,better educ includ someth good american germani,german school train student better citizen american school good german school easi life american school help student
12677,they went market,buy someth eat,buy ticket
12678,which follow best titl passag,poison toad leap across australia,the main threat cane toad caus climat favour spread cane toad
12679,By say understand two way oper author mean,reader judgment author opinion,reader receiv everyth book present author understand reader author help reader understand better
12680,what best titl passag,pictur angl,gigi escap
12681,A possibl solut crisi figaro suggest,bread price rais certain level,use ingredi lower qualiti lower energi price urg peopl eat less bread
12682,parent think danger kid use blog,teen blogger got messag stranger,kid use surpris languag kid talk n like studi kid talk girlfriend boyfriend
12683,the writer wrote passag,show thank peopl love support,express guilti conscienc peopl help tell us chang made husband death
12684,If n like school first step,find reason,leav school short time
12685,the main idea passag,metaphor great poetic devic,love rose metaphor rose good imag poetri poet care use metaphor
12686,the writer consid enjoy job import,make creativ,bring best work anoth day
12687,what think author like suggest continu write,effect way separ good ill,further applic scienc war proper use scienc new centuri
12688,whi ca n children follow common sens,becaus think children,becaus curiou new friend
12689,accord articl follow statement true,peopl make coffe tast sweeter chang color coffe cup,black plate increas sweet food drink strawberri flavor mouss percent sweeter coffe peopl consum billion cup coffe across globe everi year
12690,the experi design find,mani human student find scienc hard,teach student scienc class whether poetri difficult scienc student taught human class
12691,We know passag,businessmen get money father day,writer n like father day mani countri father day father day becom import mother day
12692,what might best titl passag,deal bulli,bulli bulli get best bulli care bulli
12693,whi writer write passag,To introduc environ california,To tell us peopl join environ california To talk way protect environ
12694,chen jie grandmoth,took away money put bank,let take care money gave money parent spent money
12695,what infer passag,britney spear took pride mother,It kate winslet ell macpherson claudia schiffer made effort make word mother popular kate stop shoot new film order stay famili peter kay took part marathon order pay new hous mother
12696,which follow statement true,If would like play golf go villag oak brook,visitor go shop go loop
12697,If peopl want go diet need,calorif app,chees wine pair app localeat app open tabl
12698,which follow true,some peopl think amount visitor land handl,yosemit nation park locat california desert the valley park spot hotel most yosemit park full traffic crime
12699,which phrase passag show writer prejudic,tini littl hick town,read recip magazin
12700,from fanni mae survey report know,renter prefer becom homeown,parent need buy hous children
12701,mayb n want make friend person sleep cure whi He,would rather alon commun,alway make peopl angri would n like
12702,hobb believ humor,way laugh other make oneself feel better,peopl view world anoth angl result narrow minded human be
12703,which follow statement true,nonscientist abl add note websit,you find inform live speci onlin the kid prepar school report access informat n you free choos amount detail inform
12704,what learn text,normal cover price charg book,the book shop expens shoe shop
12705,which follow not true roll heard paul remark,He ignor stain cloth work hard,He n speak foul languag
12706,whi women underrepres field technolog,they encourag work field,they paid men field
12707,whi writer hide closet landown came rent,onli two kid allow live hous,the closet could hold two kid they pay rent two kid
12708,accord passag kidspol done carri research,what kid think busi,how kid arrang free time how mani kid felt stress what kid studi
12709,accord text kukkamaa thought,peopl devot donat hair,inch hair may chang child life person long hair confid children like wear wig special event
12710,what infer result studi,drink good common way increas social capit,To build social capit choic drink drinker build wider social contact drinker may provid opportun
12711,which follow true,music kind mean everyon,the writer like write music everi day the writer becom strong music most peopl like listen sound sea
12712,which follow found research,touch product affect custom feel desir product,If man n intend spend money less possibl touch product the longer touch good desir
12713,what main idea text,the song humpback whale spread global,the humpback whale like hear ladi gaga song the humpback whale tune sound like ladi gaga ladi gaga new singl gain worldwid popular
12714,the lone planet guidebook bring follow advantag except,speak foreign languag open guidebook,help save time money travel
12715,what infer passag,the writer cultur differ friend,the writer n care famili the writer often quarrel famili member the writer know famili n quarrel
12716,which follow think best titl passag,food health,Do n eat too much
12717,which follow best titl,present Wo n make pupil teacher pet,Do n forget give gift your teacher learn competit cultur gift
12718,when writer say anim seem catch mean,anim begin learn use ecopassag,anim begin realiz danger road anim increas number anim cross road group
12719,for quot effect accord author,those take immedi action read,read care
12720,whi cox want speaker,To help peopl overcom disabl,To prevent children born without arm
12721,which follow not true,the moon much nearer earth mar,mar nearer earth moon Of planet mar nearest earth all planet much farther earth moon
12722,It cognit scientist job studi,process understand,peopl dream learn
